,LİSE,WEB,ADRES
63,ADIYAMAN - MERKEZ - Dumlupınar Mesleki ve Teknik Anadolu Lisesi,http://adiyamandumlupinarmtal.meb.k12.tr/meb_iys_dosyalar/02/01/113942/okulumuz_hakkinda.html,Yeni Mahalle 3 Çevre Yolu 26343 Sk No 1
64,ADIYAMAN - MERKEZ - Adıyaman Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,http://adiyamanmimarsinanteml.meb.k12.tr/meb_iys_dosyalar/02/01/973329/okulumuz_hakkinda.html,Adres Petrol Mahallesi Organize Sanayi Bölgesi Mimar Sinan Mesleki ve Teknik Anadolu Lisesi
65,ADIYAMAN - MERKEZ - Şehit Rıza Fırat Anadolu Lisesi,http://srfanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/01/972606/okulumuz_hakkinda.html,Yeni Sanayi Mahallesi 2875 Sokak No15 Park Hospital Hastanesi Batısı Adıyaman Park AVM Yanı Merkez ADIYAMAN
66,ADIYAMAN - MERKEZ - Adıyaman Lisesi,http://adiyamanlisesi.meb.k12.tr/meb_iys_dosyalar/02/01/974801/okulumuz_hakkinda.html,Adres Ulucami Mah Gölbaşı Cad Mimar Sinan Kültür Parkı Karşısı
67,ADIYAMAN - MERKEZ - Mehmet Akif Ersoy Kız Anadolu İmam Hatip Lisesi,http://makifihl.meb.k12.tr/meb_iys_dosyalar/02/01/749194/okulumuz_hakkinda.html,Adres YENİ MAH 26358 SOK NO 20 1 MERKEZ ADIYAMAN
68,ADIYAMAN - MERKEZ - Şehit Necati Sayın Anadolu İmam Hatip Lisesi,http://sehitnecatisayinaihl.meb.k12.tr/meb_iys_dosyalar/02/01/974963/okulumuz_hakkinda.html,Malazgirt Mah Nakipler Cad No21 Merkez Adıyaman
69,ADIYAMAN - MERKEZ - Ertuğrul Gazi Anadolu Lisesi,http://ertugrulgazial.meb.k12.tr/meb_iys_dosyalar/02/01/974802/okulumuz_hakkinda.html,Yeni Mahalle 26214 sokak Merkez ADIYAMAN
70,ADIYAMAN - MERKEZ - Altınşehir Anadolu Lisesi,http://altinsehiral.meb.k12.tr/meb_iys_dosyalar/02/01/974100/okulumuz_hakkinda.html,Adres Altınşehir Mah Bağdere Cad Merkez Adıyaman
71,ADIYAMAN - MERKEZ - Adıyaman Spor Lisesi,http://adiyamansporlisesi.meb.k12.tr/meb_iys_dosyalar/02/01/751935/okulumuz_hakkinda.html,Varlık Mah Vartana Cad No1 Eski YİBO Yerleşkesi ADIYAMAN
72,ADIYAMAN - MERKEZ - Adıyaman Fatih Mesleki ve Teknik Anadolu Lisesi,http://adiyamanfatihmtal.meb.k12.tr/meb_iys_dosyalar/02/01/752826/okulumuz_hakkinda.html,Yeşilyurt Mahallesi 21177 Sk No138 Adıyaman Posta Kodu 02100
73,ADIYAMAN - MERKEZ - SAFVAN ANADOLU İMAM HATİP LİSESİ,http://safvanaihl.meb.k12.tr/meb_iys_dosyalar/02/01/757479/okulumuz_hakkinda.html,Adres Yenimahalle 26313 sok NO 2 B Merkez Adıyaman
74,ADIYAMAN - MERKEZ - Kömür Anadolu Lisesi,http://komuranadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/01/759337/okulumuz_hakkinda.html,-
75,ADIYAMAN - MERKEZ - Türkiye Odalar ve Borsalar Birliği Kız Anadolu İmam Hatip Lisesi,http://tobbkizaihl.meb.k12.tr/meb_iys_dosyalar/02/01/760240/okulumuz_hakkinda.html,Altınşehir Mah 3071 Sokak No12 A1 Merkez ADIYAMAN
76,ADIYAMAN - MERKEZ - Şehit Hasan Aydoğdu Anadolu İmam Hatip Lisesi,http://sehithasanaydogduaihl.meb.k12.tr/meb_iys_dosyalar/02/01/763852/okulumuz_hakkinda.html,Tekel Caddesi Varlık Mahallesi 51 C
77,ADIYAMAN - MERKEZ - ADIYAMAN PERRE MESLEKİ VE TEKNİK ANADOLU LİSESİ,http://perremtal.meb.k12.tr/meb_iys_dosyalar/02/01/765644/okulumuz_hakkinda.html,Adıyaman Merkez Zey Köyü No 148 1 Okul ve Uygulama Oteli
78,ADIYAMAN - MERKEZ - Necip Fazıl Kısakürek Anadolu Lisesi,http://767108.meb.k12.tr/meb_iys_dosyalar/02/01/767108/okulumuz_hakkinda.html,YUNUS EMRE MAH 29161 SK NO 4 MERKEZ ADIYAMAN
79,ADIYAMAN - MERKEZ - Şehit Hasan Aydoğdu Anadolu Lisesi,http://767292.meb.k12.tr/meb_iys_dosyalar/02/01/767292/okulumuz_hakkinda.html,VARLIK MAH MEHMETÇİK CAD NO: 51 1C MERKEZ ADIYAMAN
80,ADIYAMAN - SAMSAT - Samsat Anadolu İmam Hatip Lisesi,http://samsatihl02.meb.k12.tr/meb_iys_dosyalar/02/07/749299/okulumuz_hakkinda.html,Kale mahallesi vatan caddesi hükümet konağı yanı no1SAMSAT ADIYAMAN
81,ADIYAMAN - SAMSAT - Samsat Çok Programlı Anadolu Lisesi,http://samsatcpl.meb.k12.tr/meb_iys_dosyalar/02/07/751319/okulumuz_hakkinda.html,Adres BARAJ MAH YUNUS EMRE CAD ÇPAL BLOK NO: 66 SAMSAT ADIYAMAN
82,ADIYAMAN - SİNCİK - Sincik Çok Programlı Anadolu Lisesi,http://sincikcpal.meb.k12.tr/meb_iys_dosyalar/02/08/973145/okulumuz_hakkinda.html,Karaman Mahallesi Mehmet Ataman Caddesi No5 02900 Sincik ADIYAMAN
83,ADIYAMAN - SİNCİK - Sincik İnlice Şehit Mehmet Satılmış Çok Programlı Anadolu Lisesi,http://inlicecpl.meb.k12.tr/meb_iys_dosyalar/02/08/966758/okulumuz_hakkinda.html,İnlice Beldesi Çınar Mah No44 Sincik ADIYAMAN
84,ADIYAMAN - SİNCİK - SİNCİK ANADOLU İMAM HATİP LİSESİ,http://sincikaihl.meb.k12.tr/meb_iys_dosyalar/02/08/757695/okulumuz_hakkinda.html,Karaman Mahallesi Mehmet Ataman Cad No34 Sincik ADIYAMAN
85,ADIYAMAN - TUT - Tut Çok Programlı Anadolu Lisesi,http://tutcpal.meb.k12.tr/meb_iys_dosyalar/02/09/965996/okulumuz_hakkinda.html,Fethiye Mahallesi Tut Adıyaman
86,ADIYAMAN - TUT - ABUZER YILDIRIM ANADOLU İMAM HATİP LİSESİ,http://abuzeryildirimaihl.meb.k12.tr/meb_iys_dosyalar/02/09/758825/okulumuz_hakkinda.html,Adres Cumhuriyet Mh Bağcılar Sk 2 Tut ADIYAMAN
